stage,epidermis,eye,fast_muscle,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,4.12,0,0,0,0,0
 14-21,0.9,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,6.41,13.81,0,0
 24-34,1.05,0,1.35,0,0,0,0,0,0,0,0,4.61,18.24,0,0,0,0,0.65,20.84,0.77,0
 36-46,0,2.11,10.61,0,0,0,0,0,0,1.1,0,8.92,28.13,1.41,0,0,0,15.59,0.8,3.86,0
 48-58,0.42,3.47,13.19,3.96,0,0,0,0,0,5.29,0,9.11,28.91,0,0,0,0,5.8,0,1.84,0
 60-70,3.81,9.12,6.65,2.04,0,0,0,0,1.05,2.19,1.58,5,23.68,0,0,0,0,2.33,0,0,1.16
 72-82,0,3.47,10.24,0,0,0,0,0,0,2.35,0,11.42,27.08,0,0,0,0,1.56,0,0.79,0
 84-94,0,12.28,4.54,0,0,0,0,0,0,0.77,0,5.23,8.38,0,0,0,0.91,1.2,0,4.2,0.94
 96-106,0.98,12.47,3.91,0.79,0,0.95,0,0.93,0,2.37,0,2.18,0.63,0,2.01,0,0.98,0,0,0,0
108-118,0,10.48,13.55,0,0.66,0,2.12,0.89,0,3.73,0.75,11.19,16.19,0,0,0,0.44,0.67,0,0.98,0
120,1.67,3.57,11.91,8.28,0,2.63,0,0,0,0,0,5.67,26.2,0,0,0,0,0,0,0,0
