stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,219.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93,0,0,0,0,0,0,0
  5-6,9.41,155.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,0,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,45.12,0,0,0,7.48,77.87,0,0,0,0,0,0,0
 10-12,0,0,0,13.62,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,231.77,0,0,0,19.95,59.58,20.29,0,0,0,0,0,0
 14-21,0,0,0,0,3.33,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,0.91,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.68,0,0,0,0,0,4.15,0,0,0,0,1.47,1.64,0,2.51,0.62,0.69,2.44,0,33.24,0,0,1.21,0,0,0,1
 36-46,0,0,0,0,1.26,0,1.41,0,0,0,0,3.74,3.33,0,0,0,2.24,0.63,0,11.92,0,0,1.37,0,50.4,0,0,0,0,0,1.72,2.23
 48-58,0,0,0,0,2.73,0,1.82,0,0.49,0,0,0.38,0,0,0.48,0,2.32,0,0,10.68,0,0,6.03,0,6.27,0,2.52,0.81,0,0,0,0
 60-70,0,0,0,0,9.48,0,10.04,0,2.67,6.7,0,2.13,0.58,0.63,0,0,4.28,1.99,0,15.2,0,0,7.62,0,19.02,0,0,1.7,0,0,0,0
 72-82,0,0,0,0,5.49,0,4.87,3.46,0.83,0.72,0,6.34,1.73,0,0,0,3.11,1.13,0.97,23.15,0,0,11.87,0,5.51,0,0,0,0,0.66,0,0
 84-94,0,0,1.11,0,10.85,0,4.27,0.55,0,0.77,0,14.5,0.76,1.32,0,0,0.86,4.25,0,20.97,0,0.71,15.84,0,26.37,0,0,0.63,0,0,0,0
 96-106,0,0,0,0,3.69,0,2.52,0,0,1.32,0,12.81,0,2.39,0,0.7,9.77,4.73,0,3.79,0,0,12.85,0,8.37,0,0,0,1.66,0,0.6,0
108-118,0,0,0.93,0,13.55,1.75,23.33,0,0.73,1.94,0,12.91,0.91,2.78,0,0,2.59,0,0,18.94,0,0,12.65,0,1.73,0,0,0,4.12,0,0,6.27
120,0,0,0,0,11.68,0,4.18,0,0,6.26,0,6.14,0,0,3.78,0,5.08,0,0,4.64,0,0,24.58,0,2.6,0,0,0,2.39,0,0,0
