stage,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord
 10-12,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.61,0,0,4.1,0,0,0,0,0,1.09,1.05,0,0.88,0,1.94,1.56,0.89
 24-34,0,0,2.2,0,1.23,0,0,0,0.96,0,6.67,1.06,0,3.35,0,2.17,6.17
 36-46,0.65,0,6.69,0,0,0,0,0,0,0,10.28,0,12.71,0.63,0,0,1.89
 48-58,0,0,3.16,0,0,5.77,1.59,0,0.43,0,6.6,0,0,5.04,0,0,0
 60-70,0,0,0,0.71,0,3.44,0,0,0,0,11.72,0,0,0.63,0,6.41,2.13
 72-82,0,0,0.54,1.44,0,3.06,0,0,0.96,0,2.9,0,0,2.6,0,0,0
 84-94,0,0,0,0,0,0.75,0,0,0,0,2.2,0,0,0,0,0,2.1
 96-106,0,5.97,0,0,0,0,0,9.08,0,0,0,0,0,0,0,1,0
108-118,0.69,0,0,0,0.65,3.67,0,0,0,0,7.94,0,0,0,0,0,0
120,0,0,8.15,0,0,0,0,0,0,0,0,8.75,0,3.33,0,0,0
