stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,2.42,14.12,0,0,0,0,0.9,1.03,0,11.79,4.17,3.94,0,0.96,0,0
 24-34,0,0,0,2.24,0,0,0,0,0,0,0.88,0,0,4.37,0,2.15,17.7,1.38,0,0,0,0,0,0,30.33,2.46,4.21,0,1.55,0,0
 36-46,0,0,0,20.79,0,0,0,0,0.64,0,0,0,0,2.39,0,0.58,27.7,0,0,0,0,1.61,0,0,64.84,0.55,8.96,0,0,0,0
 48-58,0,0,0,38.25,1.48,0.54,1.36,0,0,0,0,0,0,3.54,0,4.04,12.93,1.56,0,0,0,0,2.72,0,41.94,0,1.5,0,0,0,0
 60-70,0,0,0,46.35,8.47,0.63,3.69,0,0,0,0,0.68,0,3.25,0,6.99,31.83,1.47,0,0,0,0,0,0,22.96,0,19.28,0,0,0,0
 72-82,0,2.05,0.84,33.42,6.85,0,4.89,0,0,0,0,0,0,1.09,0,2.63,79.38,0,0,0.84,0,0,0,0.53,9.08,0,1.84,0,0,0,4.41
 84-94,0,0,0,40.2,22.65,0,3.05,0.87,0,1.78,0,0.89,0,0,0,1.96,37.21,2.05,0.87,0,0,0,0,1.09,26.97,0,3,0,0,0,0
 96-106,0,0,1.79,95.07,21.28,0,9.56,0,0,0,0,0,0,3.04,0.97,0,67.04,0,0,0,1.8,0,0,0,53.08,0,0,1.68,0,0.69,0
108-118,1.15,2.7,3.67,46.92,25.78,0,5.64,0,0,0,0.45,0,0.59,2.39,0,7.86,85.59,1.91,0,0,1.12,0,0,0.43,25.21,0,5.4,0.83,0,0,2.28
120,0,0,0,43.84,32.71,0,19.57,0,0,0,0,0,0,0,0,0,135.91,1.26,0,0,1.42,0,0,0,6.69,0,9.5,0,0,0,0
