stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,0,3.65,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0.81,23.43,0,0,0,1.07,0,0,7.24,0,0,0,0,0
 24-34,0,3.16,3.88,10.04,0,0,0,0,0,0,0,0,0,0,0.64,12.22,0,0,4.19,57.91,5.35,0.83,7.78,2.51,0,0,13.26,0,0,8.49,0,0
 36-46,0,0.63,0,11.61,0,0,3.76,0,0,3.19,0,0,0,0,4.29,5.43,0.56,0.86,1.76,91.2,0,0.81,0.72,1.72,0,0,19.97,0,0,2.35,0,4.3
 48-58,0,0,0,32.41,0.81,1.83,1.22,0,0,0,0,0,0,0,2.1,8.03,0.41,0,1.9,76.38,0,0,0,2.87,0,0,4.89,0,0,0.47,0,6.13
 60-70,0,4.69,0,26.49,0,0.76,11.05,0,0,0,1.42,0,0.81,0,0.93,18.23,0.73,0.93,3.52,44.51,0,0.7,0,1.62,0,1.34,7.38,0,0,0.83,0,5.11
 72-82,0,6.76,6.39,29.17,0,1.58,10.65,0,0,0,0.51,0,0,0,0,11.69,0,1.54,1.33,45.24,0,2.22,0.56,9.23,0,0,14.25,0,0,0.72,1.91,4.57
 84-94,0,2.01,2.11,18.42,0.63,0,1.42,0.61,1.3,0,0,0,1.74,0,1.74,14.44,0,8.61,0,46.33,0,0,2.2,3.71,0,0,0,0.66,0.92,0.61,0.74,20.32
 96-106,0,2.57,4.51,34.55,0,0,12.84,0,0,0,0,0.6,0,1.93,2.25,14.51,0,0,0,37.59,0,1.08,0,2.13,0,0,0,0,0,1.38,0,3.44
108-118,0.47,0.69,0,31.51,0.64,0,11.81,0.45,0,0,0.87,1.88,0,1.7,0.54,23.84,0,0.56,2.25,45.76,0,0,0.77,2.13,0,0,3.57,0,0.85,1.97,0,5.61
120,0,0,5.08,36.11,0,0,15.74,0,0,0,3.82,0,0,0,0,14.19,0,8.42,2.44,53.99,0,0,0,0,2.39,0,0,0,0,14.33,0,3.6
