stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,177.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,242.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.88,16.61,0,0,20.67,0,0,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,254.01,4.24,0,0,130.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.34,42.81,0,0,10.38,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,944.7,7.24,0,0,187.17,0,0,0,27.92,0,18.21,0,0,0,0,0,0
 14-21,0,0,7.13,87.82,2.16,17.53,0,0,0,0,1.97,0,2.05,0,0,0,0,0,0,30.81,0,0,28.37,222.47,4.28,0.92,4.92,1.09,0,8.13,3.26,2.39,4.3,23.17,53.73,0,0,0,0,0
 24-34,0,0.83,0.68,39.43,0.78,33.21,0.75,0,0.74,12.73,1.4,0,10.29,0,1.32,0.64,0,2.96,4.84,136.87,0,0,73.64,570.58,9.9,0.96,2.18,0,0,25.3,0,0,2.13,6.52,105.16,0,0,20.05,0,0
 36-46,0,0,1.67,64.97,4.5,33.41,2.31,5.32,2.04,20.9,1.88,0,0,0,0,0,0,0,0,95.97,0,0,30.58,431.39,8.82,0.59,7.44,0,0,32.97,0,0.88,2.35,2.47,130.77,0,0,3.34,0,0
 48-58,0.58,0,0.4,45.92,0.77,40.56,7.49,4.46,6.96,38.11,0,0,1.71,0,0,0,0.9,0,0.78,62.52,0,1.67,11.92,329.26,9.39,0,2.79,0,0,16.44,0,0,0.46,0,53.33,0,0,7.1,0,1.07
 60-70,0,0,0,20.46,0,93.95,5.13,17.51,3.32,29.08,1.57,0,0,0,0,0,0,0,0,56.49,0,1.2,14.76,361.4,7.12,0.98,4.43,0,0,19.52,0,0,2.19,0,81.39,0,5.06,7.61,0,7.16
 72-82,0,0,0.75,10.24,41.87,93.14,15.32,1.89,14.25,61.33,2.05,0,0,0.51,0,1.53,0.56,3.06,0,137.19,0,4.04,13.29,396.69,7.97,1.19,5.89,0,0,23.81,0,0,0,0,47.6,0.92,1.62,28.79,1.1,0
 84-94,0,0,0,11.27,11.06,109.08,4.55,1.81,11.98,65.65,3.19,0,0,1.58,0,3.64,1.71,0.58,0.83,54.32,0,0,1.98,305.27,0,0,2.43,0,0,18.56,0,0,0.63,0,31.68,0,0,14.35,9.16,1.57
 96-106,0,0,0,19.11,12.88,80.36,0.87,4.82,5.05,65.04,0.84,0,0.73,0,0.94,1.48,0,9.37,0,75.1,0.83,2.61,10.29,164.95,1.58,6.68,13.69,0,0,25.09,0,0,0.7,0,18.25,0,0,13.21,3.5,8.85
108-118,0,0,0,19.83,10.63,44.32,0.56,7.04,7.49,53.5,0.82,0,0,0.91,3.37,4.1,0,3.32,0,104.51,0,0,15.02,257.83,0.5,0,4.4,0,1.22,33.21,0,0,0,0,5.49,1.24,0.54,8.88,1.28,1.56
120,0,0,0,27.53,38.45,149.56,0,1.12,3.96,77.34,1.14,0,0,2.76,5.59,0,0,0,0,66.11,0,10.27,17.16,244.33,1.03,0,18.35,0,0,47.03,0,1.74,1.69,0,23.75,1.1,0,19.64,0,6.17
