stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.01,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.77,0,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.54,10.94,18.99,0,0,0,0,7.53,0,23.03,0,0,0,0.84
 24-34,0,0,0,2.56,0,0,19.97,0,1.42,0,0,0,0,0,0,0,0,0,10.46,4.07,0,0,0.78,321.85,0,55.61,0.84,0,0,0,0,0,39.86,0,0,0,0
 36-46,0,0,0,3.66,0,0,86.02,0,0,0.57,9.36,0,0,7.36,0,0,0,0.66,0,5.61,0,0,2.46,907.55,0,36.26,1.4,0,0,18.44,0,0.62,79.52,0,0,0,0.85
 48-58,0,0,0,10.39,0,0,293.76,0,9.39,7.99,33.67,0,2.63,0,0,0,4.61,0,0,9.47,2.57,0,5.5,1381.48,7.92,12.42,0,0,0,0,0,0.38,154.18,0,0,16.7,0
 60-70,0,0,0,3.27,0,0,527.12,2.44,3.31,4.32,15.05,0,0,0,7.36,0,14.01,0,0,16.43,1.83,0,1.18,1379.12,1.73,9.51,5.46,0,0,0.62,0,0,147.78,0,0,1.04,0
 72-82,0,0,1.55,9.82,3.81,0.61,999.29,0,0,1.15,117.71,0,0,0,2.62,0,4.32,2.74,1.54,24.23,0.56,5.33,1.41,1469.31,0,30.57,10.17,0,1.77,1.44,0,0,84.4,0,0,2.07,0
 84-94,0,0,0,12.2,1.33,0,517.99,0,0,3.12,96.22,0,0,2.51,0,0,3.94,0,0,17.24,0,0,3.58,1016.6,0,11.9,9.83,0,0,0,0,0.6,56.54,3.07,3.58,0,0
 96-106,0,0,1.8,11.99,0.59,0,698.08,0,0,0,93.9,1.23,0,0,1.47,0,8.3,1.63,0,33.26,0,0.87,0,827.32,0,20.34,8.86,0,0,8.46,0,0.59,35.1,0,0,0,7.12
108-118,0,0,1.39,3.42,2,0,627.4,0,0.55,0,103.87,0,0,0,6.11,1.62,12.56,1.07,0,31.26,0,0,6.79,866.84,0,14.81,8.48,0,0,0,0,1.44,15.06,2.23,0,1.24,0
120,0,0,1.73,16.96,0,0,476.68,0,0,10.93,97.81,9.62,0,0,9.06,0,0,0,0,36.88,0,0,0,2119.37,0,49.27,21.08,0,0,1.07,0,1.44,59.05,0,0,2.98,0
