stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,iridophores,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,taste,vasculature
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.35,0,0,0,0,0
 14-21,0,0,10.95,0,0,0,0,0,0,0,0,0,0,0,0,1.9
 24-34,0,0,16.34,0.74,0,0,0,0,0.75,0,3.13,8.97,0,0,0,0
 36-46,0,0,18.15,0,6.13,0,2.48,0,0,0,0,18.69,0,0,0,1.02
 48-58,0,0,0.54,0,5.95,0,0.66,10,0,1.03,0.94,95.31,0,2.11,0,1.01
 60-70,0,0,0.6,0,20.42,0,0.77,0,0,0,1.41,62.84,0,0,0,0
 72-82,0,0,0,0,37.93,0,2.9,0,0,1.19,0.97,158.01,0,0,0,0
 84-94,0,0,0.82,0,5.02,0,2.06,0,0,1.31,3.75,146.55,0,0,0,0
 96-106,0,6.9,0.73,0,25,0,1.86,0,0,6.91,4.73,200.53,0,0,0,0
108-118,0,0,1.32,0,3.54,0,9.08,0,0,0,7.69,161.33,0,0,1.3,0.55
120,0,0,2.74,0,12.32,2.36,0,6.33,0,3.11,0,170.87,0,0,0,0
