stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,xanthophores
  3-4,28.68,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,36.26,0,0,0,7.75,0,0,0,0,0,0
 10-12,0,0,0,5.57,0,0,16.13,0,0,0,0,0,0,0,0,166.79,0,0,0,23.34,0,0,11.22,0,0,0
 14-21,0,0,0,3.27,8.31,6.55,0,0,96.65,0,0,0,8.17,0,0.85,69.29,1.89,0,6.87,1,0,0,83.99,0,288.75,0
 24-34,0,0,0,0,3.72,0,3.8,1.24,80.99,0,0,0,2.38,0,1.57,78.23,2.77,21.95,0,0,0,0,11.48,0.74,193.39,0
 36-46,0,0,0,0,0,0,1.38,0,86.13,0,0,0,2.7,0,0,86.31,0,24.59,9.6,0,0,0,6.51,0,149.8,0
 48-58,0,0,0,0,0.43,0,5.47,0,37.28,0,0,0.41,1.12,0,0,37.71,0,15.26,0.44,0,0,1.13,0.88,0,96.49,0
 60-70,0,0,0,0,0,0,2.15,0,46.07,0,0,0,2.83,0,2.42,64.97,0,16.26,0,0,0,0,7.09,0,31.46,3.58
 72-82,0,0,2.54,0,0,0,5.16,0,29.32,2.51,0,0,2.63,0,0,27.3,0,21.58,1.38,0,0,0,1.15,0,26.41,0
 84-94,0,0,1.33,0,0,0,8.25,0,24.18,1.71,0.83,0,7.68,0,0,26.9,0,23.46,5.29,0,0,0,5.16,0,27.43,0
 96-106,0,0,0,0,0,0,0,0,22.38,1.03,3.16,0,4.47,0,0,15.13,0,31.4,7.08,0,1.37,0,0.58,0,19.54,0
108-118,0,0,0,0.42,4.81,0,2.45,0,31.3,0,1.86,0,1.67,0.46,2.28,31.87,0,26.85,4.39,0,1.02,0,2.81,0,10.9,0
120,0,0,0,0,0,0,7.68,0,23.2,0,0,0,0,0,0,29.31,0,8.42,8.73,0,0,0,1.87,0,18.47,0
