stage,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,1.06,0,0,0,0,2.38,0,0
 24-34,0,0,0,0,0,6.67,0,1,0,0.73,41.51,0,0
 36-46,0.6,0,1.4,0,0,3.67,0,0.73,0,1.86,7.11,0,0
 48-58,0,0,0,0.6,0,12.04,0.75,2.61,1.54,2.05,3.07,0.38,0
 60-70,0,0,0,0,0.72,22.04,0,0,10.92,0,24.63,0,0.88
 72-82,0,0,0,0,0,9.57,0,0,0,0,55.3,0.66,0
 84-94,0,1.72,0,0,0,8.78,0,0,0,0,13.06,2.02,0
 96-106,0,0,0,0,4.06,14.37,0,0.67,0,0,22.99,0,0
108-118,0,0,0,0,0,0.63,0,0,3.76,0,1.76,0.44,0
120,0,3.36,0,0,0,0,0,0,0,0,0,0,0
