stage,axial,blastomeres,endoderm,hatching_gland,neural,paraxial_mesoderm,pgc
  3-4,16.36,288.33,0,0,0,0,0
  5-6,6.8,80.82,0,0,0,0,0
  7-9,0,12.66,8.93,10.39,37.98,8.3,0
 10-12,0,0,0,0,61.51,21.25,4.37
