stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm
  3-4,29.73,1427.36,0,0,0,0,0,0,0,101.84
  5-6,34.2,1433.82,0,0,0,0,17.28,0,15.67,51.54
  7-9,6.54,53.87,9.35,0,27.17,12.65,483.6,25.17,155.6,0
 10-12,0,6.72,0,8.32,39.58,0,236.27,3.14,14.49,0
