stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,258.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.35,376.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.24,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,22.06,0,16.33,0,0,0,27.68,0,0,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,215,31.74,0,0,114.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,1.07,2.3,21.1,6.98,0,20.62,0,0,1.75,0,0,0,0,0.8,0,0,0.93,0,8.68,0,0,7.9,112.95,6.49,1,1.07,0.89,0,0,14.18,2.3,6.17,24.64,27.18,0,0,2.01,0,2.84
 24-34,0,0,0,0,5.89,1.31,0,25.02,0.7,0,5.11,0,0,0,0,1.01,0,0,0,0,17.03,0,0,5.52,186.9,0,3.07,1,0,0,17.16,0,9.41,0,4.14,40.43,0,0,5.6,0,0
 36-46,0,0,0,0,4.62,0,0,19.25,0,0,0.96,0,0,0,0,0,0,0,0,0,3.8,0,0,0,69.39,0,1.29,0,0,0,0,0,2.02,2.98,0,9.58,0,0,0.6,0,0
 48-58,0,0,0,0,1.33,0.59,0,52.99,0.49,0.64,20.44,1.54,0,0.5,0,0.85,1.24,0,0,1.1,33.91,0,0,1.92,67.42,0,5.22,1.85,0,0,6.71,0,0,0,0,21.24,0,1.28,1.35,0,0.6
 60-70,0,0,0,0,4.27,0,0,189.24,0.59,2.38,17.39,0,0,0,1.22,0.56,0.61,1.46,0,3.04,48.88,0,1.37,1.34,120.53,0.75,0.73,2.29,0,0.84,8.63,0,0,0,0,13.33,0,0.57,3.19,0,6.11
 72-82,0,0,0,0,1.57,0,0,35.7,0,0,6.45,2.37,0,0,0.7,0,0,0.68,6.27,0,5.27,0,0,3.17,19.01,0,2.99,0,0,0,2.11,0,0.52,0,0,6.9,0,0,3.36,0,0
 84-94,0,0,2.46,0,16.65,0.86,0.56,137.27,0,5.69,15.51,3.4,0,0.7,1.42,1.29,2.24,0,0,0,48.93,0.61,0,10.02,53.19,0,2.11,2.5,0,0,4.46,0,0.58,0,0,19.88,0,1.48,1.02,0,1.57
 96-106,0,0,1.08,0,3.44,0,0,26.52,0,0,4.44,2.9,0,0,1,2.04,0,0,0,0,12.4,0,0,0.64,14.88,0,4.5,0,0,0.97,1.19,0,0,0,0,0,1.86,0,3.54,0,0
108-118,0,0,0.62,0,7.62,1.06,1.34,103.05,1.89,4.35,25.11,1.19,0,0,2.25,0.43,2.19,1.84,2.89,3.97,50.11,0,0,5.04,98.42,0.9,8.18,1.79,0,7.11,10.2,0,0.5,0,0,3.64,0,3.08,1.85,1.6,3.41
120,0,0,0,0,12.16,1.49,0,27.24,0,0,20.94,0,0,0,7.27,0,0,1.69,0,0,41.14,0,0,5.29,75.35,0,0,1.76,0,0,6.2,0,0,0,0,0,0,0,16.15,0,0
