stage,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,27.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,193.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.3,0,0,0,31.91,0,16.06,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0
 24-34,0,0,0.73,0,0,0,0,19.17,0,0.64,2.91,1.72,0,0,0,0
 36-46,0,34.04,0.94,0,0,2.25,0,48.84,0,0,11.19,1.56,0,0,1.06,0
 48-58,0,0,0.75,0,0,0,0,43.5,0,0,16.53,2.93,0,0,0,0
 60-70,0,0,0,0,1.86,0,0,43.45,0,0,13.02,2.62,0,2.94,7.4,0
 72-82,0,0.54,9.07,0,0,0,0,67.87,0,0,5.4,3.4,0,0,0,0
 84-94,0,1.41,10.57,0,0,0.68,0,66.95,0,0,8.94,2,0,0,1,0
 96-106,0,0,2.29,0,0,2.64,0,85.1,0.79,0,13.01,5.66,0,1.56,0,0
108-118,0,2.9,3.32,0.43,1.55,0,0,80.61,0,0.61,5.46,2.23,0,0,0,1.6
120,0,0,0,0,0,0,0,92.86,0,0,7.35,0,0,0,0,0
