stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.33,33.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.53,39.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,38.63,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,35.56,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,104.74,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.25,7.65,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,32.25,0.82,0,0,0,0,0,0.95,0,0,0,0,0,0,2.94,1.6,0,0.81,124.97,0,0,0,0,0,0,2.74,1.2,0,2.71,12.67,121.76,0,0,0,0,0
 24-34,0,0,0,0,2.09,0,0,4.23,2.28,0,0,0,0,0,0,0,0,0,0,5.43,0,10.95,582.95,0,9.14,0,0,0,1.47,0,0,0,0,8.96,192.69,0,0,1.81,0,0
 36-46,0,0,0.61,0,1.66,0,0,8.64,0,0,0,9.82,0,0,0,0,0,0,0,4.24,0,3.7,1293.91,0.57,12.83,0.8,0,0,1.87,0.81,0,0,0,0,255.84,0,0,5.07,0,0
 48-58,0,0,0.49,0,9.22,0.69,0,59.04,0,1.47,0.94,13.09,0,0,0.48,0,0,0,0,18.26,0,3.79,1634.83,0,6.66,3.75,0,0,0.53,0,0,0,0,0,226.17,0,0,7.79,0,10.37
 60-70,0,0,0,0,4.22,0,0,187.87,0,6.08,1.19,28.95,0.6,0,0,0,0,0,0,21.03,2.49,2,1808.52,0,5.15,0,0,0.71,0,0,0,0,0,0,257.93,0,0.94,5.06,0,5.55
 72-82,0,0,2.79,0,10.89,1.18,0,285.43,0,0,1.86,47.41,1.96,0,0.59,0,2.8,0.53,0,30.78,0,2.12,1664.81,0,2.98,3.29,0,0,1.7,0,0,1.1,0,0,198.77,3.19,0,11.45,0,12.22
 84-94,0,0,0,0,10.41,0,7.84,228.73,0,0,0,34.19,8.03,0,0,0,6.55,0,0,26,2.96,0.6,1018.54,1.75,0,5.6,0,0,0.77,0,0,0,0,0,90.92,4.77,0,18.31,4.92,6.59
 96-106,0,0,1.66,0,9.84,1.83,0,193.54,0,0,6.2,29.43,4.06,0,0,0.59,0,0,9.82,19.82,0.78,4.15,906.99,0,10.65,9.48,0,1.58,1.85,0,0,0,0,0,56.88,2.79,0,29.74,0,8.09
108-118,0,0,4.68,0,17.51,1.13,0,141.82,0,0.55,0,58.25,3.33,0,0,0,0,3.13,0,21.89,0,2.13,1249.9,0,4.83,4.12,0,2.78,2.68,0,0,0,0,0,73.27,3.66,0.96,20.72,0.56,0
120,0,0,0,0,6.84,0,0,157.52,0,0,19.12,87.76,7.81,0,4.75,0,0,0,0,16.58,0,0,1913.68,0,6.18,0,0,0,0,0,0,0,0,0,46.19,0,0,21.76,16.23,0
