stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,25.09,697.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.78,1139.27,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.71,0,0,0,0,23.84,0,0,0,0,0,0,0,0
  7-9,6.9,10.16,31.57,0,0,28.28,0,0,0,17.46,0,0,0,0,0,0,0,0,358.35,18.91,0,0,78.28,0,0,0,0,0,0,0,0,0
 10-12,0,30.7,12.1,0,6.65,34.19,0,0,0,5.06,0,0,0,0,0,0,0,0,403.74,9.65,0,0,111.12,0,0,39.32,0,0,0,0,0,0
 14-21,0,0,2.08,3.02,0,2.29,0,3.1,0.81,0,0,0,0,0,5.63,0,0,1.05,59.94,2.18,0,1.09,0,1.04,9.56,0.96,1.68,20.07,0,0,0,0
 24-34,0,0,0.65,0,0,6.58,0,0,0,0.66,0,0,0,0,3.7,0,0,2.31,55.72,0,0,0,0,0,0,0,0.64,20.37,0,0,0,0
 36-46,0,0,0,1.57,0,5.15,0,0,0,0,0,0,0,0.62,6.36,0,0,1.44,41.51,0,0,1.19,0,0,0,0,0,9.09,0,0,0,0
 48-58,0,0,0,2.55,0,10.31,0.67,2.35,0,0,0,0,0,0,5.38,0,0.4,4.42,23.22,0,0.38,0,0,0,0,0,0,5.87,0,0,0.4,0
 60-70,0,0,0,1.63,0,6.85,0,3.71,0,0,0,0,0,1.41,6.41,0,0,7.54,3.34,0,0,0,0,0.57,0,0,0,2.48,0.84,0,0,0
 72-82,0,0,0,0,0,0,0,10.59,0,0,0,0,0,0,1.39,0,0,0.58,15.41,0,0,0,0,0,0,0,0,0,0,0.99,1.1,0
 84-94,0,0,0,0,0,1.3,0,0.73,0,0,0,0,0,0,6.86,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,2.42,2.08,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.76,0,8.65,0,2.23,0.86,0,1.03,0.7,0.58,0,5.38,0,1.5,0,4.16,0,2.37,0,0,0,0,0,0,0,0,0,0,0.6
120,0,0,0,0,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0,0,1.14,0
