stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,124.43,1619.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.11,0,0,0,0,0,0,0,0,0,0
  5-6,95.41,1300.02,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,58.14,0,0,0,0,0,58.26,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,12,0,3.38,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.24,5.9,0,0,11.26,0,23.98,10.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,15.46,0,16.57,20.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.73,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,1.44,0,12.27,0,1.79,0,3.02,0,0,0,0,0,0
 24-34,0,0,0,0,4.09,0,1.97,0,0,0,6.13,0,0,0,0.88,2.3,0,0,0,0,0,0,0,0,19.69,0,2.1,0,0,0,32.3,0,0,0,0.64,0.66,0,0,0.6,0,0
 36-46,0,0,0,0,0.92,0,1.63,0,0,0,4.78,1.39,0,0,9.04,9.93,0,0,0,0,5.65,0,0,1.68,17.5,0,0.75,0,0,0,39.17,0.74,0,2.84,0,2.93,0,0,0,0,0.61
 48-58,0,0,0,0,0.45,1.42,6.24,0.61,0,0,4.91,4.62,0,0,11,0.37,0,0.65,0,1.78,6.26,0,0,1.27,16.22,0,3.91,2.52,0,0,23.9,0,0,0.46,0,1.12,0,0,1.28,0,0
 60-70,0,0,0,0,2.7,16.97,2.48,0,1.14,0,13.36,0,0,1.5,2.6,0.92,0,0,4.36,0,8.85,3.79,0,0.9,8.93,0,6.02,0.95,0,0,29,0,0,0,0,7.19,0,0,0.85,0,0
 72-82,0,0,0,0,0,16.21,4.95,0,0.81,1.25,12.87,5.04,0,0,11.95,0.63,0.49,1.68,0,0,14.75,2.01,0,0.92,22.6,0,9.67,0.51,0,1.67,16.71,0,0,1.64,0,0,0,0,5.29,0,0
 84-94,0,0,2.91,0,2.39,30.33,5.63,0,0,0,14.16,2.75,0,0,20.91,0.77,0,0.78,0.6,0,7.44,0,1.22,0,9.97,0,1.71,4.33,0,0,52.2,0,0,0.61,0,0,0,0,2.15,0.68,0
 96-106,0,0,0,0,7.04,56.8,8.81,0,0,0.62,27.63,8.76,0,0,14.77,1.45,1.48,0,0,0,14.07,0.97,0,1.27,40.11,0,16.4,4.07,0,0,72.29,0,0,0,0,12.51,0.82,2.17,4.21,2.46,11.92
108-118,0,0,0,0.74,18.71,20.1,18.85,0,1.11,2.03,27.35,5.39,0,0,13.92,1.17,1.11,1.95,0.55,1.34,23.41,5.29,0,0,23.57,0.5,2.59,15.68,0,0.76,47.13,0,0,0.94,0,3.36,1.43,0,8.43,2.42,4.43
120,0,0,0,0,4.92,25.18,34.2,1.76,1.05,0,10.71,36.16,0,0,23.96,9.47,1.62,11.58,14.77,1.61,49.18,1.16,6.65,0,25.46,0,30.72,7.5,0,0,33.7,0,0,0,0,0,0,3.48,5.49,0,0
