stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.3,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61,0,0,0,4.92,0,0,9.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,4.63,0,0,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,37.15,0,0,0,0,0,0,0,0.92,0,0,0.81,25.81,0,0,0,0,0
 24-34,0,0,0,3.26,0,0,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0.66,850.43,0,5.82,0.78,0,0,6.66,0,0,0,0,1.33,96.5,0,0,4.13,0,0
 36-46,0,0,0,2.93,0,0,46.5,0,1.39,0,8.57,0,0,0,1.14,0,0,0,0,0,2.04,0,0,0.89,2883.63,0,3.38,0,0,0,9.23,0,0,0,0.58,0,402.63,0,0,0.89,0,0
 48-58,0,0,0,13.39,0,0,311.44,0,0.62,0.37,28.63,0,0,0,0,0,0,0,0,1.17,18.9,0,0,6.64,5641.55,0,3.92,1.22,0,0,9.58,0,0,0,0,0,752.8,0,0,1.76,0,9.46
 60-70,0,0.62,0,15.79,0,0,1072.95,0,0,0,47.45,0,0,0,1.92,0,0,1.16,0,5.76,22.99,2.49,0.89,0.79,8230.51,0,5.44,0.85,0,0,10.41,0,0,0,0,0,972.33,0,0,5.23,0,11.15
 72-82,0,2.44,0,28.06,14.38,0,1842.51,0,0.53,2.32,75.47,1.53,0,0.66,0,0,0,0.69,10.35,0.95,48.92,2.27,1.31,3.52,11582.09,0,9.77,7.04,0,0.8,2.56,0,0,0,0,0,830.15,0,0.63,12.41,0.79,6.68
 84-94,0,11.85,0,40.35,0.65,0,1583.4,0.68,8.73,8.01,103.91,0,0,2.55,2.59,0.79,12.36,0,1.72,2.56,43.98,0,3.11,3.02,7010.56,0.6,3.38,6.73,0,0,3.76,0,0,0,0,0,665.68,0.9,1.45,16.06,0,0
 96-106,0,2.59,0,29.31,30.46,0,1297.94,0,0,2.98,85.61,4.55,0,0,0.8,0,0.75,0.71,9.58,0,44.93,1.15,1.86,7.76,6701.07,0,4.95,5.91,0,3.05,8.17,0,0,0,0,0,272.08,0,0.75,1.67,0,29.5
108-118,0,7.22,0.74,47.99,8.33,0.85,1354.28,0,1.62,1,95.26,1.55,0,0.56,0,0,1.43,2.72,3.18,0.59,41.24,1.27,7.26,0.9,7559.35,0.54,4.78,7.82,0,0,11.33,0,0,1.41,0,0,226.22,2.61,0,4.37,0.57,0
120,0,11.31,0,40.98,10.42,0,1392.51,0,0,0,77.23,2.11,0,1.85,4.88,0,0,1.69,5.29,0,86.99,0,26.35,1.9,9655.74,2.28,5.11,10.69,0,0,2.14,0,0,0,0,0,258.39,0,0,0,3.95,0
