stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,1.72,0,0,0,0,0,0,0,1.45,0,0,0,0
 24-34,1.37,0,948.58,0,0,1.18,0,0,0.82,0,0,0,0,0,17.91,0,0,12.08,94.13,8.73,2.9,0,0,5.07,0,0,9.19,0,11.05,0,0
 36-46,0,0,3050.1,0,0,5.21,0,0,0,3.99,0,0,0,0,11.68,0,0,0.98,108.74,0,1.2,0.57,0,5.35,0.62,1.23,16.47,0,0,0,3.09
 48-58,1.25,0,1925.07,0,0.79,5.24,0,0,0,1.77,0,0,0,0,20.02,0,0.39,0.87,82.68,1.36,0,0,0,1.95,0,0,7.52,0,0,0,0
 60-70,0,0,3373.04,0.65,0,2.47,1.35,5.9,0,1.01,0,0,0,9.72,6.72,1.09,0,0,77.16,0,0,0,0,6.76,0,0,2.1,0,0,0,0
 72-82,2.85,5.77,2487.97,0,0,8.38,0,0,0,0,0,2.49,0,0,19.25,0,0,3.54,51.87,0,0,0,0,1.65,0,0,17.05,4.77,1.74,0.61,12.86
 84-94,0.84,1.17,1981.73,0,0,6.57,0,0,0,0,0,0,0,0,9.85,0,0,0,13.79,0,4.45,0,0,0,0,0,0,0,0,0.89,0
 96-106,3.45,0,1011.65,0,0,0,0,0,0,0,3.41,0,1.56,0,4.92,0,0,0,31.05,0,0,0,0,1.53,0,0,0,0,1.21,0,0
108-118,10.02,0,1114.3,0,1.23,2.74,0,0,0,0,0,0,0,0,16.43,0,0,5.41,26,1.12,1.23,0,2.86,2.42,0,0,0,2.35,5.93,0,3.17
120,1.33,0,651.76,0,0,0,0,0,0,2.3,0,0,0,0,2.97,0,0,0,58.04,0,0,0,0,0,0,0,0,0,0,0,0
