stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,28.68,150.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.35,130.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.97,0,0,5.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.16,1.68,0,0.92,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,26.46,0,0,1.09,0,0,4.28,0,1.19,9.95,0,0,0,0
 24-34,0,0,0.86,0.63,0,0,2.3,0,0,0,0,0,0,0,0,0.84,0,9.22,0,1.21,2.59,279.72,4.94,0,0,0,1.51,0,0,1.96,84.68,0,0,0,0
 36-46,0,0,0,2.69,0,0,17.96,0,0,8.16,0,0,0,0,0,0,11.59,6.35,0,0.88,5.09,989.7,0,1.66,0,0,0,0,0,0,255.17,0,0,0,0
 48-58,0,0,0,6.05,0,0,109.68,6.7,2.2,25.54,0,0,0,0,0,11.5,0,21.75,3.08,0,2.08,1878.76,12.22,0,0,0,1.97,0,0,0,243.51,0,0,1.62,0
 60-70,0,0,0,14.01,0,0,336.81,3.05,1.6,41.31,3.09,0,0.83,0,0,0,0,23.11,2.49,0,0.75,2198.13,0.99,0,0,0,3.2,0,0,0,283.78,0,0,0,0
 72-82,0,0,0,7.45,5.24,0,375.84,0,3.32,49.3,0,0,1.07,0,0,0,0,24.89,1.06,1.19,0.81,2519.85,0,1.26,0,0,2.41,0,1.5,0,252.91,0,0,2.23,0.77
 84-94,0,0,0,7.47,1.65,0,266.76,0.68,0.74,37.06,0,0,0.64,1.25,0.79,0,0,30.17,0,0.86,1.27,1450.18,0,0,0,0,6.11,0,0,0,125.29,0.9,1.22,12.41,0
 96-106,0,0,0,10.44,4.79,1.05,163.24,0.59,0,29.97,0.69,0,0.93,0,0,10.37,0,29.13,0,0,0,1304.41,0,3.57,0,0,1.48,0,0,0,85.89,0,0,2.1,0
108-118,0,0,0,11.34,0,0,158.7,0,3.71,12.11,0,0,0,0,0,2.47,0,17.38,0,4.52,0,1407.54,0,2.04,0,1.35,2.85,0,0,0,69.57,0,3.03,3.83,0
120,0,0,0,16.17,0,14.33,218.38,0,0,42.66,0,4.47,1.08,0,0,5.44,0,39.45,0,4.57,2.25,2485.59,0,0,0,0,0,0,0,0,52.12,0,0,0,0
