stage,endocrine_pancreas,epidermis,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,periderm
 24-34,0,0,0,0,0,0,0,1.64,0,0,0.71
 36-46,0,0,0,0,0,0,0,0,0.78,0,0
 48-58,0.54,0,0,0,0,0,0,0.71,0,0,0
 60-70,0,0,0.59,0,0,0,0,2.2,0,0,3.17
 72-82,0.62,0,0,2.52,0,0,0,3.01,2.86,0,0
 84-94,4.58,0,0,0,2.65,1.39,0,0,0,0.69,0
 96-106,0,1.39,0,0,0,0,2.05,0,0,0,0
108-118,0,0,0,0,0,0,0,3.79,1.6,0.58,2.19
120,0,3.1,0,0,0,0,0,0,0,1.4,0
