stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,29.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0.95,0,0,1.89,1.75,1.08,0,0,1.11,2.56,0,0,0.83,0,0,0,0
 24-34,0,0,0,7.8,0,0,6.99,0,0.86,2.61,0,0,1.49,86.21,0,0,0,0.79,1158.12,0,1.67,60.6,0.6,3.86,0,0.75,0,4.67,0,16.48,0,0,1.24,0
 36-46,0,0,0,20.47,0,0,7.79,2.11,0,2.3,0,1.26,0,296.42,0,0,0,8.46,2311.3,0,1.9,113.88,0,1.06,0,74.09,0,2.85,0,12.57,0,0,0,0
 48-58,0,0,0,8.88,0,0,41.92,49.5,1.17,6.09,8.94,0,0.85,1122.83,0,0,0,11.46,3854.61,0.55,1.16,80.82,0,0.77,0,0.49,0,0,0,28.88,0,0,0,5.74
 60-70,0.81,0,0,62.02,0,0,31.44,18.63,0,26.93,1.9,0,0,534.72,0,0,0,2.83,4413.37,0,0,72.97,0,0,0,34.44,0,0,0.65,6.24,0,0,0,5.08
 72-82,0,0,0,28.82,5.08,0,22.26,140.68,0,1.61,15.85,0,0.51,229.65,2.14,0.64,4.06,5.37,5147.17,1.1,0,77.94,2.3,2.24,0,30.6,0,0,2.68,4.09,0,0,6.39,4.49
 84-94,0,0,0,120.61,8.61,0,9.79,44.23,0,0,111.23,0,22.06,59.16,0,43.83,0,5.15,7816.34,2.13,0,15.21,0,0,0,8.25,0,0,0,0,6.41,1.49,0.84,4.35
 96-106,0,0,0,147.92,4.33,1.66,36.18,57.38,0,5.23,357.41,0,2.57,93.35,0.63,31.22,17.56,8.68,4145.64,0,0,102.13,0,0,0,30.59,0,0,0,3.82,22.47,1.01,5.82,0
108-118,0,0,0,273.15,2.9,3.55,18.22,55.38,0,1.55,298.6,0,4.11,46.75,0,35.34,0,8.77,4148.61,0,0,79.2,0,7.56,0.66,25.08,0,0.45,0,0,37.79,0,1.59,0
120,0,0,0,114.79,0,0,1.59,3.83,0,0,165.08,0,0,35.42,0,0,0,13.33,2324.46,0,0,13.5,0,0,0,2.98,0,0,10.96,0,10.98,0,18.07,0
