stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,4.77,0,0,0,0,0,37,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.51,1.56,0,0,0,1.76,17.27,0,0,0
 36-46,0,0,0,6.91,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0.88,69.69,8.31,0,0,0,0,2.06,0,0,0
 48-58,0.71,0,0,31.94,0,0.41,0,0,0.54,0,0.38,0,0,0,0.6,0,0.79,0.65,89.7,8.01,0,0,0,0,8.63,0,0,0
 60-70,0.9,0,0,94.79,0.99,0,0,0,0,0.69,0,0,0,0,0,1.02,0,0,138.74,9.24,0,0,0,0,1.35,0,0,0
 72-82,2.2,0,0,183.84,5.22,0,0.98,0,0,1.57,0,0,0,0,0,0,0,0,255.08,23.25,1.37,0,0,0,3.81,0,0.87,3.09
 84-94,3.1,0,0,148.54,0,0,2.74,0,0.78,1.25,0,0.65,0,0,8.47,0,3.86,0,152.19,40.97,0,0,0,0,2.96,0,0,5.11
 96-106,0,3.16,0,204.4,0,0,12.88,0.71,0,5.26,0,0,9.42,0,3.27,0,0,0,223.09,18.85,0.87,0,0,0,0,0,0,2.13
108-118,2.23,0,0.5,203.16,0,0,0,0,0,12.56,0,2.03,0,0,3.76,0,0.75,1.08,283,14.64,7.33,0,0,0,1.9,1.18,0,2.49
120,0,0,0,359.44,0,0,0,0,0,27.32,0,0,0,0,2.5,0,0,0,521.68,46.43,0,0,4.59,0,9.35,0,0,17.7
