stage,axial,blastomeres,endoderm,epidermis,eye,gut,liver,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,47.62,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,119.2,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,38.62,4.66,0,0,0
 10-12,0,0,6.57,0,0,0,0,290.18,14.47,0,0,0
 14-21,0,0,0,0.86,0,0,0,84.97,0,0,3.19,0
 24-34,0,0,0,0.63,0,0,0,1.85,0,0,0.75,3.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.69
 84-94,0,0,0,0,0,3.39,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.86,0,0,0,1.36,0,0
108-118,0,0,0,0,1.2,1.59,0,0,0,0,0,0
120,0,0,0,0,0,0,2.32,0,0,0,0,0
