stage,blastomeres,eye,glial,iridophores,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  5-6,20.42,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.17,0,8.96,0,0,0
 10-12,0,0,0,0,7.18,3.1,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.85,0
 24-34,0,0,0,0,2.54,0,0,0,0,0
 36-46,0,0.63,0,0,1.17,0,0,0,0,0
 48-58,0,0.38,0,0,0.75,0,0,0,0,1.39
 60-70,0,0.94,9.01,0.66,0.83,0,0,0,0,0
 72-82,0,2.67,0,0,6.42,0,0,0,0,0
 84-94,0,0,0,0,1.58,0,0,0,0,0
 96-106,0,0,0,0,0.79,0,0,0,0,0
108-118,0,0,0,0,9.31,0,0,0.57,0,0
120,0,0,0,0,5.17,0,0,0,0,0
