stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.76,386.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.4,438.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.67,10.02,0,0,19.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.91,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.85,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,10.69,81.28,0.9,0,0,0,0,0,0.91,4.21,0,52.17,104.97,35.88,0,0,0,0,0
 24-34,0,0,0.8,4.4,0,0,6.1,2.11,0,0,10.46,0,3.22,0,0,0,0,0,0,0,16.8,0,0,32.66,641.95,0.64,0.75,0,0,0,3.33,0,0,0.85,3.54,49.66,93.92,0,0,0.76,0,1.73
 36-46,0,0,1.39,2.65,0,0,51.56,24.01,0,1.29,63.2,0,0,0,0,0,0,0,3.46,0,46.25,0,0,54.73,1513,0,0,0,0,0,2.09,0,0,0,0.84,7.58,235.36,0,0,6.87,0,0
 48-58,0,0,0.4,7.22,0.38,0,91.25,18.11,0,3.73,120.79,0,0,0,0.52,0,15.11,0,6.03,4.01,79.88,0,2.31,79.03,1804.31,0,3.2,0.87,0,0,7.11,0,0,0,11.38,0.55,292.48,0,0.49,0.5,0,7.01
 60-70,0,0,0.7,18,0,0,231.46,33.21,0,1.24,134.4,0.99,0,0.9,0,0,0.85,0,1.98,0,136.45,0.63,5.16,100.02,2872.12,0,0,1.82,0,1.22,5.36,0,0,3.99,3.66,0,309.2,0,2.13,3.66,1.57,7.95
 72-82,0,0,1.39,7.7,4.68,0,270.5,29.11,0,9.14,102.54,0.51,0,0,5.88,0,0,0,0,3.86,167.42,0,9.22,67.18,1863.95,0,0,2.18,0,0,2.75,0,0,0.73,4.53,0,186.13,0,1.04,8.56,5.11,5.85
 84-94,0,0,0,5.52,6.79,0,225.37,25.86,0,0,89.02,0,0,3.53,0.97,0.58,1.5,0,0,9.08,148.05,0,1.32,101.49,1333.82,0,1.11,4.14,0,0.57,2.56,0,0,0,3.66,0,101.89,0,8.35,2.17,1.1,18.21
 96-106,0,0,0,5.88,5.14,7.72,123.61,29.12,0.89,8.88,96.82,0,0,0,0.58,0,0.91,1.01,0,0,129.35,0,1.38,66.53,848.95,0,0,7.18,0,2.48,10.04,0,0,0,6.25,0,39.28,0,2.22,7.89,5.47,10.93
108-118,0,0,0,5.11,2.7,0,138.92,37.42,0,6.7,82.44,0.45,0,0,6.15,0,0,0,0.7,0,105.4,0,0,79.79,1128.98,0,1.91,10.3,0,7.8,2.48,0,0,0,2.41,0,20.35,0,4.53,2.52,1.93,0
120,0,0,0,11.19,2.43,0,172.15,31.12,1.06,0,171.8,1.45,0,0,2.02,0,0,0,0,0,98.64,0,0,91.9,1362.58,0,0,6.97,0,0,2.75,0,0,0,3.59,0,10.52,1.81,12.8,4.65,0,0
