stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,963.71,26840.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503.52,0,0,0,0,0,0,0
  5-6,450.58,6842.96,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,292.87,33.61,0,58.47,142.08,0,0,0,0,0,0,0
  7-9,41.67,46.74,72.51,0,0,99.84,0,0,0,61.74,0,0,0,0,0,0,1598.39,44.81,0,632.01,0,25.91,0,0,0,0,0,0
 10-12,0,25.1,28.17,0,0,85.15,0,0,0,12.09,0,0,0,0,0,0,337.06,15,0,118.61,0,13.55,0,0,0,6.05,0,0
 14-21,0,0,0,0.92,0,0.83,0,0,0,0,0,0,0,2.33,0,0,5.79,1.62,0.88,0,0,0,0.82,0,0.8,4.24,5.78,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,1.49,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,1.42,0
 48-58,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,14.59,0,0,0,0,0,0,0,0,0,1.08,0
 60-70,0,0,0,0,0,4.33,0,1.57,0,0,0,0,0,0,0,0,19.25,0,0,0,5.13,0,0,0,0,0,2.12,0
 72-82,0,0,0,0.86,0,8.21,0,0.85,0.56,0,0,0,0,0,0.73,0,6.06,0,0,0,0,0,0,4.52,0,0,1.78,0.89
 84-94,0,0,0,0,0,8.59,5.33,0,0,0,1,0,0.75,0,0.88,0,13.89,0,0,0,0.86,0,0,0,0,0,0.62,0
 96-106,0,0,0,0,0,0,0,2.78,0.67,0,0,0,1.09,0,3.16,1.34,8.12,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.2,4.25,0,0,0,0,0,1.65,0,0,0,4.93,0,9.32,0,0,0,0.43,0,0,0,0,0,0,0.99
120,0,0,0,0,0,2.42,0,0,6.68,0,0,4.55,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
