stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.43,34.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.53,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,0,0,0,28.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.02,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.53,7.88,0,0,24.46,0,4.24,0,3.81,0,0,0,0,0,0,0
 14-21,0,0,0,3.88,67.29,0,0.86,0,0,0,0,0,0,0,0,0,0,16.17,0,0,7.82,36.03,0,0,0.86,1.89,0,0,1.15,0,0.84,4.02,3.66,0,14.15,0,0
 24-34,0,0,0,1.05,9.24,0,5.68,0,3.01,2.54,1.19,0,2.97,0,0,0,0,94.97,0,0,49.99,193.32,0,2.69,0,0,0,0,0,0,0,3.96,8.67,0,83.37,0,0
 36-46,0,0,0,1.6,0.98,0,6.64,0,0.8,6.98,10.45,0,2.08,4.26,1.15,0,0,206.57,0,1.94,64.74,386.47,0,1.6,0,0,0,0.82,0,0.74,0,0,12.79,0,38.06,0,0
 48-58,0,0,0,0.42,0,0,25.78,0,7.9,21.56,27.24,1.77,4.64,4.13,2.77,0,0,311.31,0,0.88,66.14,379.74,0,0,1.15,0,0.93,11.82,0,0,0,0,38.3,1.28,25.45,0,2.2
 60-70,0,0,0,0.64,0.87,0,65.55,0,9.36,15.42,17.99,0,1.76,8.15,0,0,2.97,426.52,0,38.96,32.6,315.43,1.76,0,0,0,12.01,0,0,0.62,0,0,31.63,9.7,46.52,2.37,0
 72-82,0,0,0,13.54,0.5,0,185.76,0,4.2,12.69,41.13,2.17,7.72,15.64,0.5,5.22,0,558.78,0,21.9,64.99,271,0,0,0,0,9.71,0.66,0,0.57,0,0,12.67,4.84,75.05,20.83,3.78
 84-94,0,0,0,4.98,0,3.04,121.86,0,10.34,15.43,49.77,4.33,4.51,28.4,0,0,1.5,460.4,0.86,15.45,34.01,168.37,0,0,0,0,3.75,0,0,0,0.6,0,10.81,3.5,70.3,13.6,0
 96-106,0,0,0,4.73,7.64,0,132.43,0.87,22.07,17.83,45.68,0,10.6,26.99,0,0,0,554.31,0,14.87,63.32,159.52,0,0,0,0,16.57,0.76,0,0.88,0,0,2.12,2.89,76.94,10.76,6.4
108-118,3.02,0,0.49,0.86,7.34,1.07,165.38,0,25.16,18.6,53.02,1.25,4.81,32.99,0.43,0,1.34,596.55,0,17.64,45.05,218.25,0,0,0.92,0,19.09,1,0,0,0,0,0,7.38,61.93,9.93,0
120,0,0,0,24.79,2.93,7.18,101.87,0,35.35,41.18,48.14,0,5.28,55.14,0,0,0,465.7,0,8.21,24.53,260.47,0,0,0,0,5.08,3.89,0,0,0,0,4.36,0,52.79,24.93,0
