stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0.95,1.81,0.86,0,1.06,0,0,0,1.9,0,0,0,0,2.66,0,0,0,0,0,10.05,0,0,0,0.97,0,2.49,1.05,0.83,9.59,13.33,0,0,0
 24-34,0,0.65,0,1.66,0,0,0.74,0,0,0,0,1.69,0,0,0,7.68,0,0.85,0,0,0.95,43.5,1.04,1.32,0,0,0,0,1.17,0,1.16,5.66,0,0,1.14
 36-46,0,0,0,1.16,0.57,0,8.79,2.19,0.58,0,2.32,7.03,0,0,0,0.62,0,6.45,0,0,1.74,60.55,0,0,0,0,0,0,0,0,0.66,5.49,0,0,0
 48-58,0,0.44,0,0,0,0,10.82,0,0,0,1.15,46.59,0,0,0,1.16,3.92,5.85,0,0,0.42,68.38,2.41,0,0.84,0,7.44,0,0,0,0,2.11,0,0,0
 60-70,0,2.33,0,0,0,0,22.14,0,0,0.68,11.55,112.45,0,1.33,0.59,0,0,3.52,0,0,3.14,50.02,1.1,0,1.2,0,0.57,0,0,0,0,2.76,0,0,0
 72-82,0,45.27,0,0.54,1.19,0,41.45,0,0,0,65.76,219.51,0,8.74,1.04,0.76,2.1,12.93,0,0,0,98.44,0.73,0,0,0,7.84,0,0,0,0,8.32,2.84,0,0.89
 84-94,0,68.55,1.01,1.94,0.72,0,26.62,0,0,0,55.85,423.48,0,0,0,6.69,0.86,5.68,0,0,2.15,39.9,0.79,0.95,0,0,7.09,0,4.21,0,0,4.58,1.03,1.21,0.61
 96-106,0,45.8,0,6.56,1.33,0,32.07,0,0,0,141.28,472.94,0,0.95,0,26.84,0,6.36,2.72,0.93,0,79.99,0,0,0,0,11.36,0,5.85,0,0,0,18.27,0,0
108-118,0,36.43,0,6.23,0,8.48,40.77,0,0.7,0,103.58,411.68,1.01,0.85,0.47,1.71,4.99,7.81,0,0,0,67.41,1.05,1.54,0,0,3.8,0,1.08,0,0,0,14.06,0,2.15
120,2.37,21.31,0,0,0,0,20.34,0,0,0,49.69,356.32,0,0,0,15.14,0,9.41,0,0,10.02,112.33,0,0,0,0,4.87,0,0,0,0,0,27.6,0,0
