stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,34.86,0,0,0,0,0,121.58,0,0,1.11,0,0,0,0,0
 24-34,0,0,0.6,4.01,0,0,1.11,0,0,0,0,0,0,32.76,0.77,0,1.23,4.75,1.53,0,0.83,36.02,0.87,0,0,0,0,1.91,794.62,0,0.65,3.79,0,0,0,0,1.01
 36-46,0,0,0,4.58,0,0,6.41,0,0,0,0,0,0,207.18,0,0,0,0,39.58,0,0,38.14,0,0,0,0,2.85,0,755,0,0,8.62,0,0,0,0,2.84
 48-58,0,0,0,20.5,2.56,0,17.23,2.23,0,0,1.41,0,0,172.65,0,0,0.56,2.83,53.84,1.58,0,38.26,0,0.44,0,0,0,0.39,256.95,0,0,4.64,0,0,2.6,0,0
 60-70,0.81,0,0,56.17,1.43,0,32.7,0.63,9.4,1.51,1.52,0,0,491.05,0,0,0,7.63,30.28,0,0,51.62,0,0,1.24,0,0,6.1,374.03,0,0,3.06,0,0,2.92,0,0
 72-82,0,0,0,32.3,3.57,0,21.85,0,0,0,2.65,5.92,0,894.77,0,0,0,9.14,40.45,0,0,32.34,0,0,0,0,0,2.24,185.7,0,0,2.33,0,0,0,0,0
 84-94,0,0,0,94.15,0,0,8.27,0,0.59,0,2.78,9.19,0,1103.4,18.64,0,0,6.63,34.67,0,0,19.95,0,35.39,0.92,0,0,8.9,857.54,0,0,6.04,0,1.38,0.63,0,0
 96-106,0,0,0,227.27,12.47,0,50.32,0,0,3.57,19.64,33.66,0,1916.13,41.14,0.73,0,21.94,35.55,0,0,73.2,0.58,65.18,1.67,0,0,7.54,558.11,0,0,0,0,2.5,4.06,0,3
108-118,0,0,0,198.31,0,0,16.01,0,0.6,0.8,7.1,1.61,1.07,1504.45,41.05,6.41,0,9.95,52.08,0,0.46,35.74,0,35.91,0,0,0,5.11,546.15,0,0,0,2.67,0,0.69,0.74,0
120,0,0,0,153.97,6.44,3.1,4.92,0,0,0,0,0,1.29,1264.85,26.15,14.28,0,5.28,25.73,0,3.87,36.37,0,8.07,0,0,0,9.21,530.86,1.32,0,0,0,0,15.22,0,0
