stage,axial,blastomeres,exocrine_pancreas,eye,fin_mesenchyme,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,23.24,53.62,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.9,6.21,0,0,0,0,0,0,49.19,12.01,0,23.84,0,0,0
 10-12,0,0,0,22.2,0,0,0,0,43.01,0,0,16.9,0,0,0
 24-34,0,0,0,0,0,0,0,0.75,12.29,0,0.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.04,0,0,0,1.23,0,0
 48-58,0,0,0,0,0.42,3.13,0,0,7.41,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.17,0,0.84,0.62,0,0,0,1.16,2.13,0
 72-82,0,0,0,1.3,0,5.44,0,0,7.76,0,0,0,0,1.97,0
 84-94,0,0,0,0,0,10.8,0,0,11.49,0,0,0,0,1.11,0.57
 96-106,0,0,0,0,0,3.74,0,0,8.39,0,0,0,0,2.75,1.66
108-118,0,0,1.52,0,0,12.93,0.49,0,0,0,0,0,0,3.51,0
120,0,0,2.69,0,0,29.29,0,3.71,39.66,0,0,0,0,16.53,0
