stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.67,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.82,0,0,0,0,0,0,0
 14-21,0,0,0,3.87,0,13.85,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,49.81,0,0,0,0,12.77,0,1.91,33.1,0,0.69,0,0,0,0,0
 36-46,0,0,0,0,0,69.89,0,0,0,0,12.29,0,0.56,16.88,0,0,1.55,0,0,0,4.22
 48-58,0,0,0,0,2,98.56,0,0,0,0,20.52,5.01,0.6,13.64,0,0,3.44,0,0,0,0
 60-70,0,0,0,0.6,0,98.17,0,0,3.23,0,18.19,1.34,1.83,10.94,0,0,0,0.6,0,0.73,0.79
 72-82,0,0.88,0,0.55,0,84.33,0,0.83,1.06,0,20.92,0.7,6.2,11.6,0.88,0,0,0.73,0,13.75,0
 84-94,0,0,0,1.82,0,62.95,0,4.81,4.46,0.72,15.28,2.48,0,3.51,0,0,0,4.07,0,9.66,0
 96-106,0,0,0,0,0,66.36,0.58,0,6.97,0,23.57,1.41,5.62,11.97,0,0,1.27,5.05,0,8.52,0
108-118,0,0,0,0.43,0,58.53,0,0,24.12,0,19.07,1,1.42,13.25,0,0,0,0,0.93,15.85,0
120,0,0,0,0,0,92.4,0,0,2.18,0,19.46,0,1.42,23.83,0,0,0,5.56,0,5.15,0
