stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.51,18.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,48.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,12.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,19.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.78,0,0,1.94,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0.81,7.85,1478.86,0,0,0,0,2.29,3.14,0.86,0,0,136.93,0,0,0,0,0
 24-34,0.88,0,0,8.85,0,0,28.32,0,0,1.31,4.47,0,0,1.36,0,0.86,0,0,9.82,0,265.57,0,0,44.56,327.66,10584.55,0,14.85,0,0,14.12,0,7.22,0,3.15,388.91,0,0,10.08,0,0
 36-46,1.07,0,0,2.04,0,0,37.05,9.3,0,0.65,4.19,0,0,5.13,0,0.68,1.11,0.57,2.44,0,740.23,0,0,20.58,255.56,12538.41,3.35,38.2,0,0,43.62,0,6.73,0,0,128.37,0,0,12.18,0,10.04
 48-58,11.75,0,0,9.71,4.52,0,130.66,0,4,5.01,31.06,2.39,0,1.88,1.22,2.75,9.09,1.45,4.61,6.49,2668.13,0.81,0.88,26.74,384.97,13558.82,2.8,243.48,0,0,13.91,0,0,5.07,0,95.16,0,0,5.23,0,26.08
 60-70,39.08,0,0.7,53.67,2.71,0,224.66,0.89,2.31,5.66,48.45,0.63,0,0.69,9.66,0,7.92,0.63,1.33,4.52,12177.68,2.04,0,30.63,407.08,8674.23,1.29,387.73,0,0,18.71,0,0,0.94,0,75.04,0,0,24.78,0,23.28
 72-82,0,0,0,77.83,14.18,0,503.77,2.32,2.54,11.07,64.5,2.31,10.23,0,3.3,7.06,8.39,1.83,1.03,5.75,19073.99,1.22,5.56,12.59,502.6,4963.86,3.36,718.84,0,1.53,14.81,0,9.04,5.75,0,39.56,0.91,6.91,11.01,0,22.33
 84-94,11.69,0,0,120.59,16.24,0,481.11,5.41,5.68,6.76,68.96,6.33,1.4,4.19,11.06,2.93,10.57,1.13,0.83,48.33,20523.2,0,6.43,8.76,255.77,8528.62,1.79,744.56,0,0,29.18,0,4.6,2.37,0,39.42,1.6,7.36,13.46,15.76,20.5
 96-106,33.98,0,0,106.59,39.28,0.63,333.14,13.54,10.14,2.67,76.29,6.4,0,0,28.1,8.1,1.8,4.06,28.95,0,11467.84,2.38,3.97,9.11,236.27,4170.68,2.15,870.71,0,3,37.14,0,0,1.95,0,4.98,0.67,2.35,21.58,12.73,4.98
108-118,30.2,0,0.58,51.32,8.96,8.04,270.04,0,16.06,6.8,42.48,17.44,0,0,17.24,2.99,2.54,8.8,10.81,2.88,8400.58,1.47,4.29,7.72,283.79,4127.23,6.34,905,0,0,7.7,0,1.69,0.86,0,10.98,9.3,0,7.07,4.85,0.84
120,28.44,0,0,100.6,20.36,14.93,89.45,0,7.69,7.37,67.04,9.51,5.2,0,17.47,0,0,5.46,14.03,0,8233.01,0,0,22.22,338.88,5491.99,0,771.53,0,0,14.34,0,0,0,0,0,0,7.99,19.75,1.05,0
