stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature
  3-4,1406.21,52634.4,0,0,0,0,0,0,0,0,0,0,0,1484.64,0,0,0,0
  5-6,732.6,8008.21,0,0,0,0,7.31,0,0,524.17,11.17,0,45.75,94.81,0,0,0,0
  7-9,3.28,13.74,4.55,0,0,0,8.44,0,0,236.46,9.19,0,25.56,0,129.05,0,0,0
 10-12,0,0,0,0,4.79,0,0,0,0,57.27,0,0,18.82,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.46,0.88,0,0,0.82,1.11,0,1.2,0.87,0
 24-34,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,1.38,0
 36-46,0,0,0.56,0,0.61,0,0,0,0,1.48,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.54,0.97,0,0.83,0,5.97,0,0.39,0,0,0,0,0,0
 60-70,0,0,0,0,2.68,0,0,1.69,0,2.3,0,0,0,0,0,0,0,2.58
 84-94,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0.6
 96-106,0,0,0,0.85,1,0,0,1.03,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0
