stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,3.34,0.83,2.5,5,5.84,0.83,0,19.18
3dpf,6.32,2.3,1.72,2.87,15.52,0,1.72,9.19
5dpf,4.65,4.13,8.79,0.52,8.79,0.52,1.03,29.46
10dpf,1.88,7.53,6.28,1.26,4.39,0,1.26,23.85
