stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,4.17,0,0,0.83,0.83,0,1.67
3dpf,40.8,0,0,0,3.45,0,1.15
5dpf,1.03,0.52,0.52,0,3.1,0.52,0
10dpf,12.55,0,0,0,1.26,0,0.63
