stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0,0,0,0.83,0.83,9.17
3dpf,0,0.57,0,0,0,2.3
5dpf,1.55,1.03,0.52,2.58,0,6.2
10dpf,3.77,0,0,0,0,1.88
