stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,0,0,0.83
3dpf,39.08,0,0.57,0,1.72,0,0,1.72
5dpf,0.52,0,1.03,0.52,4.65,0.52,0.52,4.13
10dpf,22.59,0.63,0,1.88,0.63,1.26,0,0.63
