stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
3dpf,0.57,1.72,0,0,0.57
5dpf,0,0.52,0,0.52,1.03
10dpf,1.26,1.88,0.63,1.26,0.63
