stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0,0,0,1.67
3dpf,8.05,0,0,2.87,0,0,0
5dpf,0.52,1.03,0.52,3.62,0,0.52,2.58
10dpf,3.77,2.51,1.26,4.39,1.26,0.63,1.88
