stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,7.51,0,0,1.67,3.34,1.67,0.83,0
3dpf,17.24,0,0.57,1.72,0.57,1.72,0.57,1.72
5dpf,32.04,0.52,0,3.62,1.03,9.82,2.58,6.2
10dpf,15.06,0.63,4.39,5.65,0,0,0,0
