stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,10.32,0
12hpf,28.92,3.86,0,0,3.86,1.93,0,0,7.71,13.49
14hpf,10.03,0,0,0,3.34,0,0,3.34,3.34,0
16hpf,20.51,0,0,2.05,12.3,0,0,2.05,10.25,4.1
19hpf,30.65,0,0,0,4.38,0,0,0,0,2.19
24hpf,14,0,1,0,3,2,0,0,28,1
2dpf,140.12,3.34,8.34,22.52,65.89,125.95,10.84,2.5,36.7,26.69
3dpf,418.34,4.02,9.77,8.62,14.94,177.57,2.87,0,9.77,17.24
5dpf,23.26,4.65,11.37,7.75,6.72,75.97,3.62,6.2,12.92,44.96
10dpf,130.53,7.53,20.08,10.04,3.77,65.26,5.02,0.63,6.9,6.28
