stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0.83,0,0,0,0
3dpf,14.37,0.57,2.87,0,1.15
5dpf,0.52,0.52,0.52,0.52,0.52
10dpf,7.53,0,1.26,0,0
