stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,5,0,0,0,0,0.83
3dpf,12.07,0,0.57,0,1.72,0
5dpf,1.03,0,0,6.2,2.07,0
10dpf,3.14,1.26,0,2.51,0,0
