stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0.83,4.17,0.83,1.67,3.34,0,0,5
3dpf,0,1.15,0,1.15,11.49,0,0,2.3
5dpf,1.03,17.06,0,1.03,9.82,0.52,1.03,17.57
10dpf,0.63,9.41,0,0.63,4.39,0,0,4.39
