stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,1.67,0,0,0.83,0,0,0.83,30.03
3dpf,1.72,0,0,0,0,0,0,2.3
5dpf,0.52,0,0.52,0,1.03,0.52,1.03,4.13
10dpf,2.51,0.63,0,0,3.14,0,0,4.39
