stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1517.47,10.32,30.97,0,185.81,10.32,0,20.65,722.61,206.46
12hpf,478.08,3.86,13.49,15.42,136.87,26.99,0,5.78,287.23,133.01
14hpf,545.05,13.38,70.22,13.38,193.94,60.19,3.34,6.69,300.95,190.6
16hpf,242,12.3,30.76,4.1,98.44,51.27,18.46,0,194.83,71.78
19hpf,739.94,13.14,19.7,2.19,126.97,45.97,19.7,0,153.24,61.3
24hpf,193,6,16,5,75,21,9,1,111,20
2dpf,196.01,10.01,19.18,49.21,139.29,267.74,39.2,6.67,106.76,102.59
3dpf,742.44,17.24,18.96,20.69,34.48,383.86,19.54,0,52.29,39.65
5dpf,271.85,33.59,66.15,109.57,72.87,893.08,49.62,63.05,217.07,585.05
10dpf,827.09,34.51,64.01,115.47,69.66,1117.64,49.58,1.88,179.47,92.25
