stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,10.32,0,0,20.65,0,10.32
12hpf,7.71,0,0,0,0,1.93,0,0,1.93,5.78
14hpf,6.69,3.34,0,3.34,3.34,6.69,0,0,13.38,13.38
16hpf,38.97,2.05,10.25,4.1,20.51,0,0,0,24.61,32.81
19hpf,59.11,0,6.57,2.19,13.14,4.38,2.19,0,15.32,37.22
24hpf,100,3,42,9,29,10,10,1,123,38
2dpf,306.11,6.67,17.52,35.87,144.3,178.49,35.87,0.83,83.41,135.95
3dpf,1040.11,27.58,35.05,27.58,21.84,360.88,9.19,0,20.11,74.7
5dpf,111.64,21.19,34.63,65.64,33.59,380.39,18.61,21.19,81.66,334.91
10dpf,490.1,81.58,75.3,125.51,38.28,717.27,15.06,1.88,99.78,134.92
