stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,61.94,0,0,0,0,0,0,10.32,0
12hpf,21.21,0,0,0,0,0,0,1.93,1.93
14hpf,809.21,0,0,6.69,6.69,3.34,0,6.69,0
16hpf,217.39,0,0,0,0,0,0,4.1,10.25
19hpf,510.08,0,0,0,0,0,0,0,0
24hpf,38,0,0,0,0,0,0,2,0
2dpf,103.43,0.83,1.67,0,15.01,10.84,3.34,10.84,9.17
3dpf,329.27,1.72,1.72,0.57,1.72,24.14,0,1.15,0.57
5dpf,89.93,1.03,2.58,2.58,4.13,31.01,2.58,6.2,9.3
10dpf,228.42,1.26,1.88,4.39,0.63,17.57,0.63,3.77,1.88
