stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,2.3,1.15,1.15,4.02,0,0.57
5dpf,1.03,1.03,1.03,5.69,2.07,1.55
10dpf,1.26,0.63,0,0.63,0,0
