stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
24hpf,1,0,0,0,0,0
2dpf,10.01,0,0,0,0,0.83
3dpf,7.47,5.17,0,0,1.15,0
5dpf,4.65,1.03,0,0.52,1.03,0.52
10dpf,0.63,3.14,2.51,0.63,1.26,1.26
