stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest
2dpf,3.34,0,0,0.83,0,0
3dpf,2.3,0,0,0,0,0
5dpf,0,0,0.52,0,0.52,0.52
10dpf,0,5.65,0,0,0,0
