stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
3dpf,2.3,0.57,0,0,1.15
5dpf,0,0,0,0,6.2
10dpf,1.88,0,0.63,0.63,4.39
