stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,1.67,0,0
3dpf,0.57,2.87,0,1.72,0,0
5dpf,1.03,2.07,1.55,9.3,1.55,1.03
10dpf,0,9.41,0.63,15.69,0.63,0
