stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,1.93,11.57,0,1.93,5.78,0,0,0,5.78
14hpf,20.06,10.03,0,13.38,0,0,0,0,0
16hpf,6.15,0,4.1,8.2,2.05,2.05,0,2.05,8.2
19hpf,15.32,0,0,2.19,2.19,0,0,0,8.76
24hpf,19,0,5,1,1,5,3,0,7
2dpf,172.65,8.34,23.35,32.53,29.19,79.24,19.18,21.69,99.26
3dpf,286.75,8.05,7.47,26.43,8.05,96.54,4.02,6.32,51.72
5dpf,139.54,10.85,55.3,76.49,14.47,104.92,12.4,22.22,198.98
10dpf,182.61,12.55,53.97,32.63,1.88,53.34,6.28,6.9,72.79
