stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,5.84,0,0,0.83,0,0,1.67
3dpf,113.21,0,0,2.3,0,0,1.72
5dpf,13.95,0,0.52,7.24,0.52,0.52,2.58
10dpf,48.95,0.63,0,1.26,0,0,0
