stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0.83,0.83,0.83,2.5,0,0
3dpf,1.15,0,0,0,0,0
5dpf,0.52,0.52,0.52,1.55,0.52,0.52
10dpf,1.88,0,0.63,0,0,0
