stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,20.65,0
12hpf,0,0,0,0,0,0,0,50.12,0
14hpf,0,0,0,0,0,0,0,70.22,3.34
16hpf,4.1,0,0,2.05,2.05,0,0,112.79,6.15
19hpf,6.57,0,0,0,0,0,0,28.46,6.57
24hpf,11,0,0,0,0,0,0,11,0
2dpf,49.21,0,0.83,5,21.69,21.69,9.17,24.19,5.84
3dpf,177.57,0.57,0,0,1.72,26.43,0.57,1.72,4.02
5dpf,13.44,0.52,1.03,6.2,2.07,14.99,0.52,4.13,18.09
10dpf,49.58,6.9,0,6.28,0,10.67,0,4.39,8.79
