stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
24hpf,0,0,16,0,0,0,0
2dpf,0.83,0,28.36,0,0,1.67,5.84
3dpf,0.57,0.57,0.57,0,1.72,0,8.05
5dpf,1.03,0,78.04,0,1.55,0,3.1
10dpf,3.14,0.63,60.24,0.63,1.26,0,3.14
