stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,10.32,0,0,51.61,0
12hpf,0,0,0,0,11.57,0,0,104.1,1.93
14hpf,10.03,0,0,0,3.34,0,0,26.75,13.38
16hpf,14.36,0,0,0,0,6.15,0,6.15,2.05
19hpf,85.38,0,2.19,0,0,6.57,0,4.38,2.19
24hpf,117,0,1,0,0,17,1,4,8
2dpf,121.78,0,1.67,4.17,7.51,67.56,2.5,1.67,13.35
3dpf,720.03,4.6,0.57,6.32,1.15,56.89,0.57,2.87,6.32
5dpf,78.56,1.55,4.65,12.4,2.07,39.28,1.55,7.24,18.61
10dpf,197.67,5.02,1.88,7.53,1.88,40.79,0.63,1.26,5.02
