stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1672.32,10.32,0,51.61,0,0,0,103.23,123.88
12hpf,933.03,0,0,23.13,5.78,0,17.35,127.23,61.69
14hpf,127.07,3.34,3.34,3.34,0,0,3.34,26.75,3.34
16hpf,49.22,0,0,0,2.05,0,2.05,16.41,0
19hpf,70.05,0,0,0,0,0,0,4.38,0
24hpf,36,0,0,0,0,0,0,2,1
2dpf,12.51,0,0,0,0.83,0,0,2.5,0
3dpf,0.57,0,0,0,1.15,0,0,0,0.57
5dpf,4.65,1.55,0,0,0.52,0.52,0,0,0
10dpf,0,1.88,0,0,0,0,0,0,0
