stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2756.23,41.29,0,0,381.95,41.29,0,82.58,1001.33,1558.76
12hpf,119.52,21.21,0,3.86,52.05,23.13,0,30.84,26.99,225.55
14hpf,792.5,26.75,10.03,3.34,197.29,123.72,16.72,33.44,100.32,662.08
16hpf,143.56,18.46,2.05,6.15,88.19,61.52,16.41,36.91,38.97,258.4
19hpf,3040.78,19.7,0,28.46,431.27,186.08,111.65,35.03,94.13,1131.81
24hpf,670,24,7,84,439,232,104,21,222,396
2dpf,1150.19,26.69,37.53,160.14,706.46,1341.19,130.95,28.36,633.06,603.04
3dpf,2726.69,99.41,23.56,92.52,174.12,2531.89,85.05,0.57,274.11,458.57
5dpf,616.06,123.52,87.86,265.13,188.64,2745.91,152.46,59.44,654.82,1717.94
10dpf,1068.69,101.66,39.53,168.81,138.06,2004.97,62.75,1.26,335.73,283.64
