stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0,0,0,0.83,0
3dpf,14.37,0,0,0,0,0,0
5dpf,2.58,0.52,0.52,1.03,2.58,23.77,1.55
10dpf,70.91,0,1.88,0,0,0.63,0
