stage,central_nervous_system,endoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,0.57,1.15,0.57,0,0
5dpf,0.52,1.03,0.52,0.52,1.03
10dpf,0,5.02,0,0,0
